나이성별,차량아이디,차량아이디_빈도수,scaled_차량아이디_빈도수
44,26,211,1.6055751361743031
63,91,359,3.929090909090909
68,84,862,6.476325088339223
48,73,252,2.0992700729927005
4,5,45,1.7935871743486973
34,71,36,1.8848314606741572
34,113,140,4.514044943820225
45,73,97,1.5277947464874773
27,11,110,2.5497630331753554
73,14,321,10.000000000000002
5,86,13,1.3599999999999999
23,114,64,1.5597235932872655
67,130,24,1.1789109766637857
53,136,78,2.103503184713376
95,13,24,5.928571428571428
43,84,1165,5.689346463742167
68,16,159,2.004946996466431
50,89,101,1.5247813411078717
41,119,152,2.027987897125567
49,13,564,4.342348284960422
67,84,707,6.491789109766637
94,14,106,10.0
26,51,769,8.496746203904555
30,46,8,1.090128755364807
48,45,4,1.013138686131387
45,13,883,5.849114233353696
23,88,33,1.284304047384008
50,128,20,1.0997084548104956
11,21,25,1.9642857142857144
27,14,634,9.999999999999998
49,103,83,1.4868073878627968
47,76,135,1.7662007623888183
27,21,56,1.7819905213270142
51,76,66,1.375722543352601
50,43,175,1.9131195335276967
21,100,19,1.2755102040816326
94,30,10,1.7714285714285714
66,55,250,2.5848656294200847
5,124,149,5.4399999999999995
89,21,47,1.9473684210526314
23,130,22,1.1865745310957552
52,55,138,2.145910780669145
4,35,22,1.3787575150300602
52,89,47,1.3847583643122676
47,107,109,1.6175349428208388
57,18,3,1.222222222222222
50,146,10,1.0472303206997085
46,35,262,2.0133735979292493
57,17,14,2.444444444444444
25,114,96,2.1842105263157894
107,14,235,10.0
11,14,225,10.000000000000002
51,20,126,1.722543352601156
27,88,33,1.4549763033175354
27,19,23,1.3127962085308056
41,55,81,1.5446293494704992
50,85,129,1.6717201166180757
42,51,1580,9.999999999999998
66,106,50,1.3118811881188117
24,40,185,2.263157894736842
45,101,660,4.623091020158827
47,110,50,1.2801778907242694
86,86,58,2.160633484162896
12,48,56,3.7808988764044944
67,101,381,3.955920484010371
61,51,373,7.269662921348314
26,5,79,1.7613882863340562
63,71,163,2.3254545454545457
6,110,4,1.0787172011661808
43,78,143,1.5720680393912265
108,84,157,6.52755905511811
62,21,38,1.5702054794520548
26,123,52,1.497830802603037
67,71,140,2.0812445980985306
28,48,421,5.452296819787986
54,31,69,1.9823434991974318
104,13,114,8.0625
44,138,91,1.2595322012175585
12,13,134,7.724719101123595
46,55,452,2.7510785159620363
67,36,86,1.661192739844425
64,90,20,1.1180939226519337
29,101,138,2.9855072463768115
12,64,3,1.101123595505618
32,111,17,1.2769230769230768
42,43,217,2.2311589613679543
63,20,52,1.4172727272727272
72,29,13,1.1671826625386996
88,88,27,1.4246823956442831
41,85,57,1.3812405446293494
14,14,100,8.747826086956522
104,50,17,2.0
106,26,21,2.0
64,55,314,2.945441988950276
1,51,98,5.570680628272251
50,90,28,1.1416909620991254
50,13,796,5.172011661807581
85,14,366,10.0
53,132,45,1.6305732484076434
51,106,42,1.2369942196531791
27,95,331,5.691943127962086
52,136,86,1.7109665427509293
63,26,70,1.5645454545454545
26,84,543,6.290672451193059
46,110,58,1.221311475409836
63,124,872,8.126363636363637
26,11,137,2.3275488069414316
87,48,160,4.151982378854626
102,85,2,1.1153846153846154
65,113,455,5.009813542688911
1,34,4,1.1413612565445026
26,76,69,1.6637744034707158
12,14,179,9.999999999999998
35,97,21,2.267605633802817
29,51,238,4.434782608695652
66,11,167,2.0565770862800568
114,14,53,10.0
49,43,98,1.5758575197889182
50,37,36,1.183673469387755
43,111,104,1.4149507609668757
48,100,49,1.2102189781021897
28,114,140,2.473498233215548
108,71,21,1.7086614173228347
51,28,60,1.3410404624277457
23,132,68,1.5952615992102666
11,124,90,4.575892857142858
52,88,24,1.1923791821561338
48,34,450,2.966423357664234
30,48,338,5.339055793991416
10,48,137,4.4094707520891365
27,142,21,1.2843601895734595
49,82,112,1.6589709762532983
94,114,7,1.5142857142857142
41,82,58,1.3880484114977307
47,97,162,1.920584498094028
68,124,832,6.285512367491166
44,30,148,1.4239025953220121
42,124,319,2.8125395820139327
85,84,178,5.364383561643836
49,34,369,3.184696569920844
54,100,33,1.462279293739968
42,95,132,1.746675110829639
49,88,70,1.4096306068601583
85,124,258,7.336986301369863
93,76,13,1.9310344827586206
44,97,536,2.5427747516821535
31,82,46,1.806772908366534
6,31,63,2.626822157434402
113,14,25,6.538461538461538
54,13,439,7.327447833065811
102,124,7,1.6923076923076923
4,9,8,1.12625250501002
24,55,278,2.9016018306636155
75,113,51,5.017857142857142
63,78,37,1.2945454545454544
27,40,107,2.5071090047393363
25,111,34,1.4113573407202216
30,86,70,1.888412017167382
30,107,63,1.798283261802575
33,95,84,3.3126934984520124
47,40,223,2.269377382465057
83,111,4,1.0903010033444815
2,51,215,10.0
43,113,459,2.845120859444942
25,95,262,4.253462603878116
13,35,22,3.054347826086957
25,14,723,10.000000000000002
68,123,50,1.3116607773851592
48,36,171,1.7445255474452557
104,70,19,2.125
54,35,151,3.1669341894060996
48,82,254,2.108029197080292
36,113,41,4.829787234042554
50,107,104,1.5405247813411078
16,35,3,1.4615384615384615
7,33,2,1.0271084337349397
7,8,7,1.1626506024096386
9,51,218,8.54054054054054
28,17,27,1.275618374558304
5,48,97,3.88
7,91,66,2.7620481927710845
67,46,20,1.1477960242005185
54,36,83,2.184590690208668
87,73,21,1.39647577092511
110,51,70,4.528409090909091
7,103,19,1.4879518072289155
110,14,177,10.0
44,21,248,1.7122717077859662
24,128,30,1.1990846681922196
16,97,7,2.3846153846153846
106,95,92,5.550000000000001
47,100,21,1.1143583227445997
7,13,150,5.039156626506024
70,57,102,1.7469186524239935
44,85,136,1.3892983018263378
24,30,62,1.4187643020594964
110,43,24,2.1761363636363638
48,86,299,2.305109489051095
22,50,14,1.1363636363636362
8,124,149,4.233009708737864
32,18,6,1.0865384615384615
87,95,216,5.262114537444934
34,14,357,10.0
